edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
25,1,1.73,22.3,66.7,8.5,4.0,5.0,6.6,7.3,5345,2,30,7.2,2.2,96.6,32.6,5.4,1.2,4.0,2.5,60.0,91.36,32.22
48,1,1.74,26.3,79.7,7.6,4.0,5.2,3.0,3.3,5514,2,32,2.0,6.4,40.0,9.1,3.5,1.2,2.65,5.5,60.0,41.25,30.0
36,1,1.58,21.1,52.7,7.1,3.1,5.4,7.9,8.7,3987,2,18,6.3,2.9,66.6,28.4,4.0,0.7,0.7,0.0,60.0,100.0,37.78
20,1,1.83,23.1,77.3,7.4,3.9,5.5,7.1,7.8,5816,2,35,6.7,2.6,104.0,30.3,2.2,1.3,2.38,1.4,60.0,60.4,60.0
39,1,1.62,25.4,66.7,8.3,4.0,4.9,6.0,6.6,4145,2,19,7.1,2.3,95.1,32.1,5.4,0.7,1.91,5.9,60.0,73.32,8.89
37,1,1.81,26.0,85.3,7.1,3.8,5.8,4.4,4.8,2000,3,0,9.7,0.2,165.7,43.7,1.8,0.0,2.94,10.0,60.0,93.76,33.33
53,1,1.77,27.4,86.0,7.0,3.9,5.7,7.7,8.5,5546,2,32,8.1,1.5,139.1,36.4,7.6,1.2,4.0,7.3,60.0,100.0,52.22
51,0,1.66,19.5,53.6,8.5,3.9,5.4,7.3,8.0,2078,2,0,8.8,1.0,94.4,39.6,5.5,0.0,2.18,0.0,60.0,87.17,55.56
44,0,1.56,24.1,58.6,7.4,3.9,5.4,7.9,8.7,2108,2,1,9.7,0.2,114.2,43.8,3.1,0.0,1.07,6.5,60.0,91.5,52.22
28,1,1.71,28.6,83.6,7.6,3.7,6.4,6.1,6.7,3259,2,11,6.8,2.6,113.7,30.6,5.8,0.4,1.74,0.0,60.0,82.58,27.78
34,0,1.59,30.9,78.0,7.2,4.0,5.1,3.5,3.9,5110,2,28,9.3,0.6,145.2,41.9,3.0,1.1,2.17,0.8,0.0,44.18,10.0
28,0,1.62,22.7,59.5,8.2,3.9,5.7,2.7,3.0,5069,2,28,7.3,2.2,86.6,32.7,7.0,1.1,4.0,0.0,60.0,100.0,10.0
46,1,1.68,21.4,60.3,8.6,4.1,4.7,3.9,4.3,3914,2,17,6.1,3.2,73.1,27.3,8.0,0.7,2.19,4.0,60.0,84.38,11.11
64,1,1.56,27.6,67.2,7.3,3.9,5.6,6.8,7.5,3493,2,13,10.0,0.0,134.4,45.0,4.1,0.5,2.65,0.8,60.0,79.57,68.89
18,1,1.78,29.0,91.8,7.3,3.9,5.4,6.9,7.6,6748,2,43,6.7,2.6,123.3,30.2,3.8,1.6,2.9,0.0,60.0,88.39,45.56
53,1,1.69,23.6,67.4,7.9,3.8,5.8,6.1,6.7,5026,2,27,5.2,3.8,70.0,23.4,3.4,1.0,2.08,7.3,60.0,75.25,4.44
64,0,1.59,25.1,63.6,7.4,3.9,5.6,3.5,3.9,4605,2,24,7.8,1.8,99.2,35.1,3.0,0.9,2.1,8.9,60.0,66.84,100.0
43,0,1.58,26.5,66.2,7.7,3.9,5.5,2.1,2.3,5443,2,31,6.2,3.1,81.6,27.7,4.4,1.2,1.5,1.2,60.0,90.99,92.22
47,1,1.73,21.0,62.9,7.1,3.8,5.8,5.5,6.1,4344,2,21,7.2,2.2,90.8,32.5,2.2,0.8,2.39,0.0,46.5,60.58,43.33
27,1,1.64,23.2,62.5,8.2,3.9,5.7,7.1,7.8,5073,2,28,10.0,0.0,125.0,45.0,4.6,1.1,1.53,5.9,60.0,100.0,32.22
58,1,1.54,18.0,42.7,6.4,3.9,5.4,4.3,4.7,2099,2,0,8.0,1.6,68.6,36.1,3.3,0.0,2.06,5.0,4.0,43.4,57.78
33,1,1.73,21.2,63.3,9.4,4.0,4.9,6.8,7.5,5815,2,35,7.7,1.8,97.4,34.6,7.2,1.3,2.59,0.8,60.0,100.0,96.67
39,0,1.66,22.4,61.7,6.8,3.1,5.5,4.0,4.4,4465,2,22,7.3,2.2,89.5,32.6,7.9,0.9,2.42,5.0,60.0,100.0,81.11
57,1,1.69,21.0,59.9,6.5,3.8,6.0,6.9,7.6,3686,2,15,5.6,3.5,66.8,25.1,5.2,0.6,1.51,0.6,60.0,62.24,7.78
64,1,1.62,27.3,71.7,7.6,3.8,5.8,5.4,5.9,3065,2,9,6.2,3.0,89.2,28.0,2.7,0.4,3.11,1.4,60.0,48.57,72.22
29,1,1.71,21.3,62.2,8.4,4.0,4.9,7.8,8.6,5761,2,34,10.0,0.0,124.4,45.0,1.5,1.3,2.57,7.3,60.0,86.59,93.33
38,1,1.6,26.3,67.4,7.5,3.8,5.9,7.8,8.6,2781,2,7,7.0,2.4,94.4,31.5,1.8,0.3,2.41,2.9,60.0,56.17,72.22
43,0,1.55,23.1,55.5,6.7,3.9,5.4,3.9,4.3,5364,2,31,7.1,2.3,79.0,32.0,1.2,1.2,2.06,0.0,33.1,47.37,22.22
44,0,1.57,20.9,51.4,8.3,4.0,5.1,6.5,7.2,6267,2,39,9.1,0.7,93.4,40.9,3.3,1.5,2.01,9.4,60.0,85.61,12.22
32,1,1.76,24.3,75.4,6.7,3.1,5.6,7.8,8.6,4947,2,27,8.5,1.2,127.9,38.2,6.5,1.0,2.12,6.3,60.0,60.3,33.33
49,1,1.67,28.8,80.3,8.0,3.9,5.5,6.4,7.0,5206,2,29,6.2,3.0,99.4,27.9,6.2,1.1,2.59,9.6,60.0,65.06,52.22
64,1,1.67,23.5,65.5,8.3,4.1,4.6,7.5,8.2,3898,2,17,7.3,2.2,95.7,32.9,3.4,0.7,2.37,0.0,60.0,93.44,51.11
40,1,1.84,24.3,82.2,7.5,3.9,5.7,5.2,5.7,3252,2,11,6.6,2.7,108.1,29.6,7.5,0.4,3.43,10.0,0.0,32.01,25.56
45,0,1.64,28.2,75.9,8.6,3.8,6.0,4.4,4.8,2000,3,0,5.0,4.0,76.2,22.6,1.5,0.0,3.67,6.6,60.0,83.87,50.0
28,1,1.72,20.7,61.2,8.8,3.9,5.5,7.0,7.7,6364,2,40,8.6,1.1,105.0,38.6,2.3,1.5,4.0,1.0,2.4,74.28,95.56
19,0,1.59,21.4,54.0,8.5,3.9,5.7,5.9,6.5,2727,2,6,8.6,1.2,92.4,38.5,5.6,0.3,2.71,2.3,60.0,100.0,22.22
62,0,1.58,27.7,69.3,7.5,4.0,5.1,5.3,5.8,2480,2,4,7.1,2.3,98.3,31.9,1.3,0.2,1.88,1.0,60.0,48.92,42.22
36,1,1.55,18.0,43.2,8.3,4.0,5.1,2.2,2.4,3427,2,13,7.1,2.3,61.1,31.8,4.7,0.5,2.15,3.2,60.0,78.26,73.33
47,0,1.69,26.6,76.0,6.4,3.2,5.2,7.1,7.8,4388,2,22,5.5,3.6,84.2,24.9,4.8,0.8,3.43,0.0,60.0,78.68,14.44
21,0,1.65,24.0,65.2,7.3,3.8,6.1,6.9,7.6,6012,2,37,7.5,2.0,98.2,33.9,5.9,1.4,3.18,10.0,60.0,65.87,86.67
32,0,1.61,24.8,64.3,7.6,3.9,5.5,6.2,6.8,5436,2,31,6.0,3.2,77.0,26.9,2.1,1.2,2.57,5.9,56.7,25.2,2.22
48,0,1.61,26.4,68.4,6.6,3.1,5.6,4.9,5.4,4855,2,26,5.3,3.8,72.0,23.7,3.2,1.0,2.53,8.0,60.0,94.44,67.78
57,0,1.67,23.8,66.5,7.4,3.9,5.6,3.5,3.9,5745,2,34,6.8,2.6,89.9,30.4,4.5,1.3,1.83,1.9,60.0,100.0,17.78
21,0,1.51,28.0,63.7,6.9,3.8,5.9,5.7,6.3,2520,2,4,10.0,0.0,127.4,45.0,5.0,0.2,3.44,1.3,0.0,60.14,66.67
61,1,1.66,22.3,61.3,9.1,3.6,6.9,5.1,5.6,11008,4,83,7.6,1.9,92.8,34.1,2.5,3.1,1.83,3.2,60.0,100.0,43.33
36,0,1.54,27.8,66.0,7.4,3.6,7.0,3.0,3.3,10321,4,76,10.0,0.0,132.0,45.0,2.7,2.9,3.62,2.9,60.0,90.44,88.89
62,1,1.82,21.7,72.0,7.3,3.3,8.5,7.2,7.9,10973,4,82,10.0,0.0,144.0,45.0,6.6,3.1,2.19,4.4,60.0,100.0,3.33
20,0,1.68,25.5,72.0,8.1,3.7,6.7,2.2,2.4,9639,4,70,8.0,1.6,115.5,36.1,4.8,2.6,1.7,4.0,60.0,98.42,30.0
18,1,1.55,27.4,65.7,7.9,3.9,5.4,4.1,4.5,13427,5,105,6.2,3.0,81.9,28.1,2.2,4.0,2.63,7.9,60.0,93.93,38.89
35,1,1.59,19.2,48.5,8.0,3.6,6.9,3.3,3.6,11484,4,87,3.9,4.9,40.0,17.6,3.4,3.3,0.56,4.0,60.0,48.13,12.22
61,0,1.61,23.5,60.9,7.2,3.5,7.6,2.3,2.5,12006,4,92,8.5,1.2,103.3,38.2,2.7,3.5,3.39,6.6,60.0,70.17,34.44
29,1,1.67,24.1,67.3,7.3,3.6,7.1,3.7,4.1,11731,4,89,9.3,0.5,125.5,42.0,3.2,3.4,2.08,3.3,53.8,57.48,1.11
47,1,1.61,22.1,57.4,7.6,3.7,6.3,3.0,3.3,9912,4,73,9.0,0.8,103.8,40.7,2.5,2.7,1.26,2.4,60.0,100.0,83.33
52,0,1.76,22.8,70.6,8.8,3.8,6.2,2.4,2.6,9825,4,72,7.3,2.2,103.2,32.9,1.4,2.7,2.24,0.0,60.0,97.69,43.33
25,1,1.72,27.7,81.9,7.4,3.5,7.5,6.1,6.7,10844,4,81,5.8,3.3,95.5,26.2,2.3,3.1,3.19,2.9,60.0,100.0,66.67
54,1,1.73,23.4,70.1,7.5,3.8,5.8,7.0,7.7,12253,4,94,8.3,1.3,116.9,37.5,1.1,3.5,3.43,4.2,60.0,95.08,83.33
51,1,1.65,27.2,74.2,7.0,3.8,6.0,7.1,7.8,10256,4,76,8.1,1.5,120.8,36.6,6.8,2.9,2.39,6.9,60.0,68.24,43.33
20,0,1.67,22.5,62.8,7.2,3.6,7.2,2.7,3.0,10490,4,78,6.0,3.2,75.5,27.0,3.4,2.9,1.59,4.9,60.0,61.56,81.11
20,0,1.59,23.5,59.4,6.2,3.3,8.3,6.3,6.9,11829,4,90,7.7,1.8,91.5,34.6,4.1,3.4,3.43,0.0,60.0,53.82,46.67
48,0,1.6,21.3,54.5,7.6,3.9,5.5,2.7,3.0,10970,4,82,8.6,1.1,93.4,38.6,5.3,3.1,2.14,0.8,60.0,100.0,84.44
42,0,1.66,24.6,67.9,8.7,3.7,6.4,5.9,6.5,12103,4,93,7.0,2.4,95.3,31.6,3.9,3.5,3.3,0.6,60.0,77.8,31.11
53,1,1.59,30.1,76.2,7.9,3.4,8.2,3.9,4.3,12123,4,93,7.2,2.2,110.0,32.5,3.1,3.5,3.33,10.0,60.0,74.44,81.11
26,1,1.81,24.5,80.2,7.4,3.9,5.6,4.5,5.0,13528,5,106,10.0,0.0,160.4,45.0,6.6,4.0,3.18,4.5,60.0,95.11,8.89
62,1,1.71,24.6,71.8,8.0,3.3,8.3,6.2,6.8,11143,4,84,4.0,4.8,57.9,18.2,3.3,3.2,3.05,0.3,60.0,90.25,68.89
38,1,1.79,19.6,62.9,8.0,3.6,6.9,7.1,7.8,11236,4,85,4.0,4.8,50.1,17.9,7.7,3.2,3.13,0.0,60.0,100.0,76.67
50,1,1.62,27.3,71.7,7.9,3.8,6.2,7.5,8.2,10616,4,79,6.8,2.5,97.9,30.7,2.2,3.0,1.87,0.6,60.0,90.4,10.0
37,0,1.56,26.3,63.9,7.4,3.8,5.8,4.5,5.0,10140,4,75,5.1,4.0,64.6,22.7,5.2,2.8,3.24,0.0,0.0,47.03,15.56
44,1,1.62,18.6,48.9,7.6,3.9,5.7,7.4,8.1,11318,4,86,7.2,2.2,70.4,32.4,1.9,3.2,4.0,4.6,0.0,75.61,73.33
47,0,1.64,22.2,59.6,8.1,3.2,8.9,3.3,3.6,11422,4,86,9.0,0.8,107.2,40.5,6.3,3.3,1.5,3.7,60.0,67.6,40.0
19,0,1.62,21.0,55.1,7.3,3.5,7.4,6.9,7.6,9340,4,67,5.1,3.9,55.9,22.8,3.8,2.5,1.16,0.0,0.0,33.46,82.22
59,1,1.67,23.1,64.3,7.7,3.8,6.1,2.4,2.6,14578,5,116,7.1,2.3,90.9,31.8,2.6,4.4,2.64,0.0,60.0,100.0,91.11
54,0,1.55,25.9,62.3,9.2,3.7,6.6,4.4,4.8,11956,4,91,6.3,3.0,77.9,28.2,2.0,3.4,2.8,2.9,60.0,100.0,16.67
21,1,1.61,29.2,75.6,7.7,3.7,6.3,3.9,4.3,10372,4,77,9.9,0.1,149.4,44.5,7.6,2.9,3.1,3.7,60.0,84.29,72.22
21,1,1.7,21.5,62.2,7.5,3.4,7.8,6.9,7.6,10452,4,78,3.7,5.0,45.9,16.6,6.8,2.9,2.33,0.0,60.0,65.49,70.0
22,0,1.59,22.2,56.2,7.9,3.6,7.1,3.9,4.3,11616,4,88,7.1,2.3,80.1,32.1,3.7,3.3,1.03,1.6,60.0,74.52,63.33
47,0,1.57,20.2,49.9,6.8,3.8,6.1,2.4,2.6,10958,4,82,4.1,4.7,41.1,18.6,2.5,3.1,2.89,3.9,60.0,82.68,54.44
36,1,1.81,19.6,64.1,8.1,3.5,7.6,2.1,2.3,10724,4,80,7.8,1.7,100.3,35.2,1.7,3.0,2.82,7.5,60.0,100.0,23.33
23,1,1.69,28.6,81.6,7.1,3.4,8.2,7.0,7.7,10713,4,80,7.3,2.1,119.9,33.1,1.8,3.0,3.33,1.5,16.2,44.0,48.89
50,1,1.79,23.9,76.5,7.8,3.5,7.6,5.7,6.3,9885,4,72,4.4,4.5,66.8,19.6,7.2,2.7,2.4,3.2,60.0,47.74,15.56
62,1,1.66,29.0,79.9,8.2,3.4,8.0,7.5,8.2,10438,4,77,8.7,1.0,138.9,39.1,6.9,2.9,3.07,3.0,60.0,62.69,96.67
38,1,1.72,24.5,72.5,6.9,3.5,7.4,6.8,7.5,10830,4,81,6.0,3.2,87.3,27.1,5.3,3.1,2.42,3.1,60.0,72.57,42.22
20,0,1.62,26.1,68.6,8.9,3.8,5.8,4.1,4.5,10754,4,80,6.7,2.6,91.9,30.1,1.9,3.0,3.12,5.0,60.0,67.98,88.89
26,0,1.5,25.6,57.5,7.5,3.9,5.4,7.4,8.1,12134,4,93,8.0,1.6,91.8,35.9,6.4,3.5,2.44,2.9,60.0,100.0,83.33
19,1,1.8,24.1,78.0,7.3,3.6,6.9,6.7,7.4,11143,4,84,8.4,1.3,130.6,37.7,1.4,3.2,2.07,0.3,60.0,99.39,84.44
33,1,1.69,27.0,77.2,7.7,3.9,5.4,4.1,4.5,13227,5,103,7.4,2.1,114.1,33.2,3.7,3.9,2.82,4.0,0.0,49.22,85.56
62,1,1.75,22.7,69.6,7.2,3.4,7.9,2.5,2.8,11379,4,86,9.4,0.5,130.5,42.2,3.0,3.2,3.95,0.0,60.0,100.0,82.22
58,1,1.65,29.4,80.0,7.6,3.8,6.1,7.6,8.4,9157,4,66,6.1,3.1,98.1,27.6,1.8,2.5,2.08,0.0,0.0,47.55,58.89
59,0,1.61,26.8,69.6,8.6,3.6,7.2,6.2,6.8,13171,5,103,7.9,1.7,110.2,35.6,1.5,3.9,2.43,6.9,60.0,88.77,87.78
22,1,1.64,18.3,49.3,7.1,3.4,7.9,2.2,2.4,11909,4,91,8.5,1.2,84.0,38.3,7.2,3.4,4.0,6.1,60.0,100.0,85.56
20,0,1.71,22.3,65.3,9.1,3.5,7.6,6.2,6.8,11571,4,88,9.2,0.6,120.4,41.5,4.9,3.3,4.0,6.2,60.0,100.0,47.78
52,1,1.72,23.4,69.2,7.9,3.6,7.2,4.3,4.7,11022,4,83,10.0,0.0,138.4,45.0,3.0,3.1,1.04,6.8,0.0,40.68,20.0
54,1,1.73,18.0,53.9,7.6,3.4,7.9,7.8,8.6,11050,4,83,3.5,5.2,40.0,15.7,3.8,3.1,1.95,7.1,60.0,70.58,33.33
31,0,1.72,22.4,66.3,6.9,3.5,7.3,2.0,2.2,11565,4,88,10.0,0.0,132.6,45.0,4.4,3.3,1.53,2.1,60.0,100.0,13.33
30,0,1.7,28.9,83.6,8.0,3.6,7.2,3.3,3.6,10731,4,80,8.4,1.3,139.7,37.6,3.4,3.0,2.02,5.4,0.0,35.4,21.11
19,1,1.75,20.8,63.8,7.9,3.5,7.5,2.7,3.0,12851,5,100,4.9,4.1,62.5,22.0,4.7,3.8,2.8,5.4,60.0,100.0,52.22
58,1,1.6,28.2,72.1,8.3,3.5,7.7,3.8,4.2,11438,4,87,6.8,2.5,98.7,30.8,5.3,3.3,2.29,5.2,60.0,96.84,71.11
21,1,1.65,24.3,66.1,7.5,3.5,7.5,7.1,7.8,9719,4,71,4.8,4.1,64.0,21.8,6.0,2.7,2.02,0.0,60.0,79.48,38.89
61,1,1.63,21.5,57.2,8.2,3.4,8.1,3.0,3.3,10028,4,74,10.0,0.0,114.4,45.0,6.9,2.8,2.19,0.0,60.0,100.0,64.44
38,0,1.67,23.8,66.3,7.4,3.6,7.2,4.0,4.4,11217,4,85,7.9,1.7,104.7,35.5,5.4,3.2,1.47,3.5,60.0,80.72,98.89
36,1,1.71,20.2,58.9,7.5,3.3,8.4,5.5,6.1,11834,4,90,10.0,0.0,117.8,45.0,1.7,3.4,2.8,2.4,60.0,100.0,65.56
63,0,1.52,27.1,62.7,7.6,3.3,8.5,4.4,4.8,10506,4,78,7.5,2.0,94.3,33.8,3.0,2.9,3.6,4.0,60.0,81.83,6.67
28,1,1.69,26.0,74.1,6.5,3.8,6.0,5.6,6.2,13880,5,109,10.0,0.0,148.2,45.0,4.2,4.1,2.73,7.3,0.0,67.87,81.11
49,1,1.6,24.2,62.0,7.2,3.5,7.6,2.3,2.5,13561,5,106,7.3,2.1,90.8,32.9,3.1,4.0,2.16,5.6,60.0,87.91,92.22
60,0,1.62,22.9,60.2,7.8,3.6,6.9,4.0,4.4,12105,4,93,6.6,2.7,79.8,29.8,2.4,3.5,2.75,6.2,60.0,100.0,95.56
21,1,1.58,24.5,61.1,8.4,3.7,6.4,7.1,7.8,10216,4,75,6.7,2.7,81.5,30.0,5.0,2.8,4.0,2.2,60.0,100.0,32.22
29,1,1.74,22.0,66.5,8.1,3.6,6.8,2.6,2.9,13113,5,102,7.5,2.0,100.0,33.8,3.8,3.8,1.19,0.0,60.0,66.95,80.0
18,0,1.65,32.0,87.2,7.5,3.3,8.6,7.9,8.7,14069,5,111,6.4,2.9,111.0,28.6,6.4,4.2,1.48,0.0,60.0,61.36,96.67
55,1,1.83,22.1,73.9,8.0,3.6,7.0,3.3,3.6,10459,4,78,7.9,1.7,116.3,35.4,3.4,2.9,1.54,1.4,60.0,95.45,81.11
33,1,1.76,21.1,65.4,8.9,3.5,7.7,7.2,7.9,10567,4,79,8.9,0.9,116.1,40.0,6.4,3.0,2.17,4.2,60.0,100.0,84.44
21,1,1.67,24.1,67.3,7.0,3.5,7.4,2.7,3.0,12189,4,94,6.9,2.5,93.0,31.1,6.9,3.5,1.58,3.5,13.9,48.82,10.0
60,1,1.76,23.8,73.6,7.3,3.5,7.4,3.0,3.3,11350,4,86,9.1,0.7,133.7,40.9,6.0,3.2,3.22,0.0,60.0,84.63,1.11
56,0,1.52,23.0,53.1,7.8,3.7,6.6,7.8,8.6,12340,4,95,6.3,3.0,66.4,28.1,0.9,3.6,2.82,6.7,60.0,100.0,30.0
52,1,1.63,24.9,66.1,9.0,3.7,6.3,7.2,7.9,11570,4,88,5.4,3.7,71.6,24.4,4.6,3.3,2.67,2.3,60.0,100.0,64.44
56,1,1.72,22.5,66.6,7.5,3.4,7.9,3.8,4.2,10511,4,78,4.8,4.2,63.7,21.5,3.2,2.9,3.75,7.6,60.0,74.07,17.78
19,1,1.55,21.9,52.7,7.8,3.8,5.8,6.3,6.9,12826,5,99,4.3,4.5,45.5,19.4,7.2,3.7,0.91,0.0,60.0,70.58,40.0
33,1,1.7,23.4,67.6,8.5,3.6,6.9,2.1,2.3,10425,4,77,6.2,3.1,83.3,27.7,4.0,2.9,1.18,4.7,60.0,53.31,4.44
40,0,1.55,25.8,62.1,7.4,3.8,5.8,7.7,8.5,12579,5,97,5.5,3.6,68.1,24.7,2.2,3.7,2.26,7.2,60.0,75.35,92.22
26,1,1.71,21.3,62.4,7.1,3.6,7.2,4.6,5.1,9318,4,67,7.6,1.9,94.8,34.2,6.1,2.5,1.6,7.1,60.0,61.54,12.22
50,1,1.62,27.0,70.9,7.5,3.8,6.2,2.0,2.2,11119,4,84,5.1,3.9,71.8,22.8,2.2,3.2,2.39,1.7,40.4,43.24,50.0
36,1,1.73,25.4,76.2,7.8,3.7,6.4,6.6,7.3,10613,4,79,10.0,0.0,152.4,45.0,3.3,3.0,3.56,1.4,60.0,100.0,30.0
46,0,1.62,20.4,53.6,8.3,3.6,7.2,7.4,8.1,13212,5,103,6.6,2.7,70.5,29.6,1.3,3.9,3.64,7.0,60.0,94.19,56.67
